label,message
PositiveFeedback,"Top notch service from GreenBin, keep it up lads you're doing brilliant work!"
PositiveFeedback,Thank you for the consistent reliable service throughout the year. Even during the bad weather you kept collecting.  Much appreciated.
PositiveFeedback,"Very happy customer here. Collections always on schedule, bins returned properly. Thank you for making recycling easy!"
PositiveFeedback,"Love the text reminders, makes life easier."
GeneralInquiry,"rules for recycling plastics, plz"
MissedCollection,"Hello Team, Our black bin was not collected yesterday as scheduled. It is now overflowing. Could someone come today or tomorrow please?"
PositiveFeedback,"awesome work, thanks for helping the planet"
GeneralInquiry,can i put shredded paper in the green bag? thx
ServiceComplaint,"Very disappointed. Website says one thing, actual service does another."
DamagedProperty,This message is to report property damage caused during a recycling collection. The bin was mishandled and caused damage to a parked bicycle on my driveway. Please advise on next steps for claiming repair costs.
MissedCollection,bin still not collected...  supposed to be 3 days ago
GeneralInquiry,"Do you accept waste from small home renovations, like old tiles or bricks?"
ServiceComplaint,The collector refused to take my recycling without explaining why. Felt really abrupt.
ServiceComplaint,could you retrain some of your drivers on bin handling?
ServiceComplaint,Driver broke my gate while reversing the truck. No apology or offer to fix it.  Demands for compensation ignored.
ServiceComplaint,The staff on the phone were dismissive and unhelpful.
GeneralInquiry,Can we put large boxes by our bin for collection?
GeneralInquiry,How do I report a damaged bin?
DamagedProperty,one of your guys smashed my garden light when collecting bin today
DamagedProperty,Found bin with cracked lid after last collect
DamagedProperty,collection truck damaged our fence 😤 who do i speak to?
GeneralInquiry,CAN I RECYCLE COFFEE PODS IN MY GREEN BOX?? IVE HEARD CONFLICTING THINGS AND DONT WANT TO CONTAMINATE THE LOAD. THANKS.
ServiceComplaint,The staff at the Somerset depot were incredibly rude to my elderly mother when she tried to drop off some cardboard. Truly pathetic behavior.
DamagedProperty,The bin was dropped from height and now it's cracked all over. Not good enough.
DamagedProperty,bin lid smashed after being dropped by one of your guys. bin no good anymore
ServiceComplaint,no response to last five emails
ServiceComplaint,I’m not impressed with the new collection times. Too late.
MissedCollection,COLLECTION NOT DONE.  IVE BEEN WAITING 2 WEEKS NOW
MissedCollection,"I’ve searched FAQs, no mention of service disruption in Somerset. Yet no pick-up. What gives?"
MissedCollection,"I’m disappointed that my recycling wasn’t collected again. I rang customer service last week and was promised a catch-up, but nothing happened. My bins are overflowing and attracting pests. Please escalate this."
DamagedProperty,"Your truck reversed into my parked car in Yeovil and drove off. I’m shaking with anger. It scraped the bumper and left blue paint marks, and I have it on my neighbour’s camera. This isn’t a “minor scuff” when it’s my insurance premium and my time. The crew didn’t leave a note, didn’t knock, nothing. That’s a hit-and-run in my book. I want a call from your manager TODAY and details of your insurance process. I will provide the footage and the time stamp (08:03). Do not try to deny it because I have the evidence. If I don’t hear back, I’ll report it to the police and Somerset Council."
ServiceComplaint,Why is the recycling centre closed at 3pm on a Saturday? That's the only time people can actually get there. Totally useless service.
DamagedProperty,"Hi team, yesterday your driver backed up into our garden wall, leaving a five-foot crack. I called the office, but they just said someone would ring me back. No callback yet."
GeneralInquiry,What day is my bin collection next week due to the bank holiday?
MissedCollection,my collection keeps getting missed. fed up now.
DamagedProperty,Your rubbish truck cracked our driveway pavement last Friday. It needs repairs!
GeneralInquiry,Can you guys recycle lightbulbs? Not sure if they go in the glass box or not.
MissedCollection,"my green bin wasnt emptied again today, third time this month. street is chaos. pls fix."
MissedCollection,"yet AGAIN my recycling was not collected today. this is the third time in a month and i am honestly sick of it. i put the bin out the night before like i am supposed to, lid fully closed, nothing blocking it, neighbours bins all gone except mine. explain that?? i watched the truck go past and they didnt even slow down. i then had to drag the bin back up my drive in the rain. do you think i have nothing better to do? i pay council tax like everyone else and expect the service advertised. if there is some rule you have suddenly invented, maybe communicate it instead of assuming we are mind readers. i now have two weeks of rubbish sitting there attracting flies and smelling disgusting. sort this out immediately and collect it asap, not next week, today."
DamagedProperty,Fence dented by lorry.
DamagedProperty,The collection crew scuffed my garage door with the trolley.
ServiceComplaint,Communication breakdown between service and residents.
DamagedProperty,Recycling box crushed flat 😡
ServiceComplaint,"Driver was speeding down our lane and scared my dog half to death, not impressed."
ServiceComplaint,"The bin men left all the glass on the street last Friday, was a right mess. Dangerous for kids. Sort it please."
PositiveFeedback,The quality of GreenBin is top-notch. Best bin-collecting co. ever!!
DamagedProperty,My bin lid was cracked after your last collection. It won't close properly now.
MissedCollection,"bin not collected AGAIN!!! whats going on??? this is ridiculous. i put it out early, didnt overfill, lid shut. you lot just drove past. dont tell me its my fault because it isnt. ive got bags piling up and nowhere to put them. sort. it. out."
GeneralInquiry,How long for replacement?
PositiveFeedback,"great service today, thanks for being so quick!"
MissedCollection,i am so tired of this. every other week the bin is missed and every other week i have to write one of these stupid messages. i shouldn’t have to beg you to do what you’re paid to do. sort it out. seriously.
DamagedProperty,gate no longer closes after crew
MissedCollection,Nobody came to collect our recycling again. This is becoming a pattern.
DamagedProperty,Bin lid is completely broken.  Got smashed during last collection.  I need a replacement urgently
PositiveFeedback,Thanks for replacing my bin so fast!
GeneralInquiry,what days are recycling picked up in somerset? just moved here
DamagedProperty,"La semana pasada su camión chocó contra mi cerca de madera y ahora está partida. Necesito que la reparen pronto porque mis perros pueden escapar. Vivo en 9 Willow Close, Taunton. Tengo fotos y los vecinos vieron el impacto. Por favor indíquenme el procedimiento para reclamar los daños y el plazo estimado de reparación."
ServiceComplaint,The online form keeps crashing when I submit.
ServiceComplaint,Why is it so hard to get a hold of someone on the phone? I've been on hold for 15 minutes just to ask a simple question. Your automated system is frustrating and keeps looping. I just want to speak to a human being about my service issues.
MissedCollection,where was the truck today?? missed recycling collection
PositiveFeedback,"Always a reliable service, even in the snow! Thank you to the hard-working crews."
GeneralInquiry,How do I report a missed collection?
ServiceComplaint,"I rarely complain, but GreenBin Recycling has pushed me to do so. The service has declined noticeably over the past year. Collections are inconsistent, information is unclear, and customer queries take far too long to be answered. I feel like residents are being taken for granted. This is not the standard we were promised. I would like to know what is being done to improve reliability, because at the moment it feels like no one is accountable."
GeneralInquiry,paper or plastic bags for waste?
GeneralInquiry,Do you collect food waste separately?
ServiceComplaint,"Repeat problem, no one seems to care"
MissedCollection,"I have children and limited space, and missed collections are a serious problem for us. The smell and mess are affecting our home. Please treat this as urgent because it cannot wait another two weeks."
PositiveFeedback,Thanks for collecting even though the road was icy. Top job.
DamagedProperty,The recycling collection this week caused damage to our fence. Looks like the lorry got too close and pushed the panels over. This is the second time this has happened in six months. Please can you investigate? Address: 19 Oakfield Crescent.
PositiveFeedback,thanks for coming back for my missed bin so quickly. great service.
ServiceComplaint,The bins are emptied into the truck too noisily—it's so annoying and disruptive 💤.
MissedCollection,no bin collection. all bins full on street
ServiceComplaint,The new sorting rules are confusing and frankly a waste of my time.
GeneralInquiry,what happens if I miss bin collection day? can i put it out next time?
DamagedProperty,"Recycling box smashed, need a replacement."
MissedCollection,bin not emptied. first time in ages but still annoying.
ServiceComplaint,Bins were left open after collection allowing contents to spill everywhere. Very poor standard of service
ServiceComplaint,old bin never replaced
ServiceComplaint,Found glass in my driveway after you left
DamagedProperty,Your careless workers dented my bloody car while emptying the bin. Pay up you idiots!
ServiceComplaint,"Dear Sir or Madam, I wish to express dissatisfaction with the repeated late arrivals of your recycling vehicle on Eastover. The published window is 7:00–9:00, yet during the last three collections the truck has not turned up until after midday. This causes traffic congestion because parents park for the primary school pickup at 3 p.m., forcing the lorry to idle in the road, horns blaring. Please either adjust the timetable or ensure punctuality, as the current situation is distressing to residents and dangerous for children crossing. I have documented times and photographs should you require evidence."
MissedCollection,No collection for whole lane
DamagedProperty,Recycling crew knocked over our fence panel 😕
DamagedProperty,Your vehicle damaged my fence post when maneuvering to collect the bin. It needs replacing.
DamagedProperty,The bin collection caused a crack in our patio slabs yesterday. The driver reversed too quickly and caught the edge. Please can someone come and inspect the damage?
MissedCollection,Missed bin today.
DamagedProperty,"I think my wall was hit during the last pick-up, can you check the cameras?"
ServiceComplaint,"Customer service never replies, what’s the point of this form?"
MissedCollection,Recycling bin was not collected on the scheduled date. Everything was set out correctly. Please arrange collection.
ServiceComplaint,"There is a complete lack of consistency in how collections are handled. Some weeks bins are returned neatly, other weeks they are left blocking driveways. Some weeks nothing is collected at all. This unpredictability makes it very hard to manage household waste. I expect a clear standard of service and consequences when that standard is not met."
GeneralInquiry,Can I pause my subscription temporarily while I'm away for three months?
ServiceComplaint,Why are your drivers so loud at 6am?? Woke up the whole house. 🤬
ServiceComplaint,"I’m not happy about your “extra capacity” charges. We had one extra bag of cardboard next to the bin (neatly tied, not loose) and your crew refused to take it, slapped a note on the bin, and left it. Then your customer service told me I need to pay for additional pickups. Seriously? It’s Christmas, people have extra packaging, and we’re still recycling responsibly. I’m in Yeovil and you’re basically discouraging recycling unless we pay more. What exactly are we paying for already? I want this reviewed because it feels like a money grab. At minimum, provide clear guidance in advance, not after the fact with a smug sticker."
DamagedProperty,broke our raised bed box. need repair
DamagedProperty,Broken bin wheel.
GeneralInquiry,Do you take small electrical items like kettles or is that a no?
MissedCollection,Bin not emptied. Pls send someone.
PositiveFeedback,As a new resident I just wanted to say how impressed I am with GreenBin Recycling. Everything is clearly explained on the website and collections have been spot on. Thank you!
ServiceComplaint,"Your driver is a racist prick. Told me to ""go back to my own country"" when I asked him to move his truck. Disgusting."
DamagedProperty,Your collection crew damaged our recycling caddy during pickup. Want reimbursement
MissedCollection,"bins not picked up AGAIN, really annoying now"
DamagedProperty,"Hi GreenBin, I love your service but one of your workers dented my parked bicycle today."
MissedCollection,"Bin wasn't collected this morning on High Street, put it out at 6am like always. Any idea what's going on?"
ServiceComplaint,"Honestly fed up now, third time this month the crew left rubbish all over the road after emptying the bin."
DamagedProperty,My parked car got scratched by the truck
ServiceComplaint,"I am extremely disappointed with the current state of the recycling service in Frome. For the past three weeks, the collection times have been completely inconsistent. One day they arrive at 7am, the next it is 4pm, and sometimes they don't show up until the following day. This makes it impossible to know when to put the bins out, especially with the high winds we've been having which knock the bins over if they are left out too long. Furthermore, the mess left behind by the crews is unacceptable. There are frequently bits of paper and plastic strewn across the pavement after the truck leaves. I have had to go out and sweep the street myself multiple times. This is not the level of service I expect from GreenBin Recycling. I hope to see an improvement in both punctuality and cleanliness immediately or I will be taking this matter up with the local councillor."
MissedCollection,collection was supposed to be thursday but it didnt happen. checked the schedule online and it says collected? ?  very confusing
DamagedProperty,"bin handles missed, cracked this morning"
MissedCollection,"hey, collection day today but no one came. bin is full. need help pls."
ServiceComplaint,Unfriendly staff.  They threw my bin down and didn't seem to care about my property.
DamagedProperty,Your truck reversed into my front hedge and broke several branches off. This isn’t the first time! Need someone to come and take a look ASAP.
DamagedProperty,Your truck knocked over my wheelie bin and all the recycling spilled everywhere. Very frustrating!!!
DamagedProperty,Wheel fell off new bin
MissedCollection,missed AGAIN 😡 green bin still outside. do i just leave it forever or?
PositiveFeedback,very happy customer here!!! keep up the good work guys 🌱♻️
MissedCollection,"Hey, my bin was missed Tuesday. Didn’t see any vehicle on my street. Pls reschedule."
PositiveFeedback,Service has been faultless.  Professional crew and always on schedule. Well done!
PositiveFeedback,Best recycling service we’ve had since moving here.
DamagedProperty,"Gatepost cracked, looks fresh."
GeneralInquiry,Can I get an extra bin? family has grown.
PositiveFeedback,Just wanted to say a big thank you to the GreenBin team! My bin was collected very early this morning and the lads even put it back neatly. Really appreciate the great service 😊
PositiveFeedback,Really appreciate how helpful your driver was when I had too much recycling.
PositiveFeedback,great experience all year
MissedCollection,"This message is to formally complain about a missed recycling collection on our road. The bin was not collected on the scheduled date, and despite reporting it promptly, there has been no resolution. This ongoing issue is causing inconvenience and reflects poorly on the reliability of the service. I expect a prompt response and a clear plan to address this recurring failure."
DamagedProperty,Large crack in driveway after your truck mounted the kerb. wasnt there before. need this sorted.
PositiveFeedback,Your team in Frome are always polite and efficient.
GeneralInquiry,I'd like to know how your food waste is processed. Is it fully composted?
ServiceComplaint,My calls are never returned
MissedCollection,Collection missed for flat 8. not first time
MissedCollection,missed again 😡😡 this is getting silly. everyone else's bins on the street got taken except ours. fix this!
MissedCollection,For the fourth bloody time this month my bin hasn't been emptied. This is ridiculous.
ServiceComplaint,"Poor handling of my bins, keeps damaging them"
ServiceComplaint,"This is a general complaint about how GreenBin Recycling is being run. Missed collections, rude drivers, no follow-up, and no accountability. I have never experienced such a poorly managed service in this area before. I would like to know who is actually responsible for overseeing operations because clearly standards are slipping."
MissedCollection,"Hello GreenBin team, I’m writing regarding the scheduled recycling collection on Monday this week for our address in Somerset. The calendar on your website clearly stated that mixed recycling would be collected on that day, but the lorry never arrived. I waited until late afternoon before bringing the bin back in, assuming it might be delayed, but nothing happened. This isn’t the first time this has occurred, although it doesn’t happen every week. I appreciate that things can go wrong, but it would be helpful to know why this keeps happening and when I can expect the missed collection to be resolved."
ServiceComplaint,Collection was 2 hours late and they made so much noise banging bins at 7am on a Sunday. Ridiculous.
PositiveFeedback,Super happy with how clean everything is left after collection. Makes a difference!
PositiveFeedback,"Quick replies to email, thank you"
GeneralInquiry,Do you offer larger bins for households with more recycling?
MissedCollection,bin not collected again. do I need to call?
ServiceComplaint,i dont like the new system way too confusing
ServiceComplaint,"Honestly not impressed at all. The service used to be fine but lately it’s gone downhill fast. Bins collected late, sometimes left in the middle of the drive, lids broken and no follow up. I sent an email last month and never even got a reply. Paying council tax for this level of service feels like a joke. I don’t normally complain, but this is becoming a regular issue and someone needs to actually take responsibility."
MissedCollection,still not collected
DamagedProperty,Knocked over my plant pots and didn't even pick them up. Ruined my nice flowers :(
MissedCollection,"I saw the lorry go by but didnt take mine, why?"
MissedCollection,"Hi, you didn't collect our bin again this week. It's the third time now. Please sort it out as soon as possible!!"
GeneralInquiry,"Hi, what days are recycling collected in my area?"
DamagedProperty,"The handle on my bin is snapped, happened during emptying."
MissedCollection,missed my collection again!! srsly what am i paying for?? third time this year. sort it out GreenBin. i live on silver street in wells. bin is full. come get it.
MissedCollection,u forgot our block again
MissedCollection,why has my green bin been skipped? all others on road done.
PositiveFeedback,Found staff extra helpful
MissedCollection,"hiya folks, not sure what went on this morning but our green bin is still out front completely full and smelling like a compost heap in july. the truck came down jasmine close around 07:30, i watched them take my neighbour's bin and then they just rolled right past mine without even a glance 🤷‍♂️. lid closed, correct day, no wrong stuff inside (i triple-checked!). any chance someone can swing back later today or tomorrow? fridge is clogged with bottles waiting to go. cheers, dan in taunton, house number 14. would hate to cart it back indoors because the seagulls are already circling the street and ripping open bags left out by others."
DamagedProperty,Bin completely broken after being thrown back. Needs replacing asap.
MissedCollection,"I’d like to inform you that the recycling bin for our household was not collected on the scheduled day. We checked the council alerts and there were no notices about delays or cancellations. The bin was not contaminated and was placed correctly. Please advise if a return visit will take place or if we should wait until the next cycle, as storage is becoming an issue."
DamagedProperty,"Truck hit our garden wall slightly, some bricks loose now."
GeneralInquiry,how to complain if drivers rude
GeneralInquiry,can you tell me what can go in the green bags?
MissedCollection,"recycle bin = not collected, again again again"
MissedCollection,Missed pickup and no explanation.
MissedCollection,missed again
DamagedProperty,Your truck knocked over my garden gnome and smashed it to pieces. It was a present from my late mother. Very upset.
PositiveFeedback,You have been absolutely wonderful all year. Keep rocking the recycling space! Cheers. 🌟
MissedCollection,"I’m writing to report that my recycling bin was skipped on 2 Jan. The calendar app shows pickups every Tuesday, yet ours remains untouched. Please fix your system."
GeneralInquiry,Is there a way to get collection reminders by email?
GeneralInquiry,Are you collecting as normal during the strike?
ServiceComplaint,the new system is confusing and doesn’t work for me
GeneralInquiry,"Collection missed, how to report?"
ServiceComplaint,"drivers in a hurry, damaging bins"
MissedCollection,Missed bin. Address: BA20 1PP.
MissedCollection,"This is becoming a joke tbh, third missed collection since Christmas. Please explain."
ServiceComplaint,waited on hold for 3 hours and still no one picked up
PositiveFeedback,I really appreciate how reliable the collections are. Never missed once in three years. Makes life so much easier. Well done GreenBin!
GeneralInquiry,Do you collect glass as well?
MissedCollection,"Hi GreenBin team, my bin wasn't collected again this week on Tuesday. It's the third time in two months. The street is Somerset Road TA1 3XX. Please sort this out asap, it's starting to smell really bad now. Thanks"
DamagedProperty,Your staff dropped the bin and cracked several paving slabs on my path. This is visible damage and I expect it to be addressed promptly. Please advise next steps.
GeneralInquiry,What time do collections usually happen on our street?
DamagedProperty,"Hey, after u collected bins my gate is all wobbly. Pretty sure your team busted it. Can u fix?"
DamagedProperty,Fence came down after bin pickup
GeneralInquiry,Do you offer garden waste service?
ServiceComplaint,Customer service phone line never answered.
PositiveFeedback,All good 👍
ServiceComplaint,collection crew knocked over a planter and didnt apologize or offer to help
MissedCollection,no collection happened today on our street - manor gardens
MissedCollection,"Dear GreenBin, I’m concerned that despite subscribing to the weekly service, my recyclables were not collected at all in the last fortnight. Please look into this."
ServiceComplaint,too much mess left after every collection
GeneralInquiry,where r ur offices? wanna come by
PositiveFeedback,Just awesome! Unbelievable hard work even during Christmas rush! Hats off 💯.
MissedCollection,"Missed food waste caddy. Address is 5 High St, Frome."
MissedCollection,can u come tomorrow make it up
MissedCollection,"My recycling stood out since Friday, not collected"
GeneralInquiry,Can I recycle crisp packets?
ServiceComplaint,"Why are you people so unreliable? My bin is constantly half-emptied, the collectors just tip half of it in and leave the rest. Sort it out."
ServiceComplaint,Collection team left the bin in the middle of the driveway.
DamagedProperty,You've dented our fence panel again whilst reversing that big truck. What now?
ServiceComplaint,"Still can’t get thru to phone line, urgent"
ServiceComplaint,"I have to say I'm extremely disappointed with the service lately. Bins often left on the pavement blocking the path, sometimes not even put back properly. This has been ongoing for weeks now."
MissedCollection,my bin not collected for 2 weeks now 😤 pls help im running out of space
GeneralInquiry,"I’m writing to ask about collection schedules over bank holidays. Does the recycling day change, or does it remain the same? I couldn’t find a clear answer online and don’t want to miss a collection by putting the bin out on the wrong day. If there’s a calendar or notification system I can sign up to, please let me know. Thanks for providing this service and for any guidance you can offer."
ServiceComplaint,Service is inconsistent and frustrating. I expect better from a council contractor.
GeneralInquiry,hi can I recycle pizza boxes?? thanks
ServiceComplaint,Website never up to date
MissedCollection,"Hi there, our recycling wasn’t picked up this morning as usual. The bins were out last night and everyone else’s seem to have been collected except ours. Could someone check if the crew missed our road, please? We’re on Orchard Close, Taunton. Thanks."
GeneralInquiry,Do you collect on bank holidays? Specifically wondering about Easter Monday. Thanks in advance.
ServiceComplaint,unhappy with the service lately. messy and late.
GeneralInquiry,how do i get rid of old mattress?
MissedCollection,wheres my collection??? its been 2 weeks now and bin is overflowing!!!!!! 😡😡
ServiceComplaint,Why are your collections getting later and later each week? Used to be 8-9am now sometimes after lunch!
ServiceComplaint,Driver was smoking while handling bins which is disgusting and unprofessional. Food waste bins shouldn't be handled by someone smoking!
GeneralInquiry,What items are not allowed in the black bin?
MissedCollection,"Greetings, just to inform you that recycling for Flat 2, 12 Glaston Road, Street, was overlooked during yesterday’s run. I understand routes were altered following the flooding, but the council website still listed Monday for our area. Could you confirm the revised timetable, or arrange a catch-up? We’re a shared student house with limited indoor storage; after the holidays we have stacks of pizza boxes and energy drink cans towered dangerously near the hob. Not ideal fire safety. Thanks for any help, and please pass along praise to the usual crew who are normally fantastic despite the workload. Cheers from all of us at number twelve."
PositiveFeedback,"Merci pour le bon service, toujours fiable."
ServiceComplaint,Staff yelled when i asked them something. Not right.
MissedCollection,I left bins out but nobody collected. Please send a truck today!!
PositiveFeedback,Brilliant job as usual
MissedCollection,no one came again?? second week in a row now. whats going on
DamagedProperty,driver knocked over a fence panel when reversing.
ServiceComplaint,"Your driver just threw the bin on the floor like shit after emptying it, now the lid is cracked. Not happy."
PositiveFeedback,We've been with you for two years now and service is consistently excellent. Couldn't ask for better
MissedCollection,"Why u ALWAYS miss my rubbish, sort it out!"
GeneralInquiry,Is food waste picked up weekly or fortnightly?
GeneralInquiry,Is there a charge for extra recycling bags? Couldn't find info online.
MissedCollection,bin left unemptied AGAIN 😡
MissedCollection,You lot missed my street again! 😡 Blue bags are still sitting on the kerb at BA11. Sorting it out now plz.
PositiveFeedback,Keep up the good work.
MissedCollection,"Hello, I am writing because my recycling bin has once again been missed. This is becoming a pattern rather than a one off issue. I live on a main road in Somerset, very easy access, and yet somehow my bin is overlooked regularly. I have followed every guideline provided, including not overfilling and placing it in the correct position. My neighbours have started commenting on the smell because it has been sitting there for weeks. I find it embarrassing and frustrating. I should not be punished because your schedule or staff are disorganised. Please arrange a catch up collection and explain why this keeps happening."
GeneralInquiry,what happens if my bin is damaged?  do you replace them for free?
MissedCollection,didn’t take my recycling again. any reason?
MissedCollection,Non ho ricevuto il ritiro oggi. Il mio cestino è ancora pieno. (I put it out last night but no one came?)
ServiceComplaint,"The online reporting system is extremely frustrating to use. It times out, doesn’t save progress, and gives no confirmation half the time. On top of that, when I do manage to submit a report, nothing seems to happen. I’m complaining about the overall customer experience, not just one missed collection. GreenBin Recycling needs to seriously review how it communicates with residents and how issues are tracked and resolved."
PositiveFeedback,"Gave my mum extra bag, thank you"
DamagedProperty,They knocked over our fence panel.
DamagedProperty,the lorry cracked our driveway edge while turning. please advise.
GeneralInquiry,"Ciao, volevo sapere se accettate plastica dura (tipo contenitori del detersivo)? Grazie!"
GeneralInquiry,How do I update my address details on your system?
DamagedProperty,your driver damaged my wheelie bin storage area and just drove off. i have photos. don’t even try to deny it.
ServiceComplaint,takes too long to get new bin
PositiveFeedback,"I’d like to compliment GreenBin Recycling on the improvements I’ve noticed over the last few months. Collections have been consistent, communication has been clearer, and any minor issues were resolved quickly. It’s clear effort has been put into making the service better, and as a resident I really appreciate that. Please share this feedback with management and the frontline crews. It makes a real difference to confidence in the service and encourages more people to recycle properly. Thank you for your hard work."
ServiceComplaint,"GreenBin, can you explain why your collection schedules never match? The paper calendar says one thing, the website says another, and the automated email reminder (when it arrives) is different again. I’m in Yeovil and this inconsistency is causing constant arguments on our street because everyone is putting bins out on different days. Then the crew complain bins are “late” or “not presented” — maybe because YOU can’t communicate. I’m not asking for the moon here. One accurate schedule. One place to check. And if it changes, notify people properly. Also your reminder emails go to spam half the time. Sort it out. You’re creating the confusion and then blaming residents."
ServiceComplaint,"Your call centre hours are completely unrealistic. Some of us work. When I finally got through (after 30+ minutes), the agent sounded like I’d interrupted their lunch. Then they told me to “check the FAQs”. If the FAQ solved it, I wouldn’t be calling, would I? I’m trying to get a straight answer about assisted collections for my mother in Wells, and nobody seems to understand what that means. I need a clear policy, how to apply, and confirmation in writing. Not attitude. Not vague promises. If GreenBin can’t accommodate basic accessibility needs, I will take it to the council and local disability support groups. This is 2026; do better."
DamagedProperty,The driver smashed my plastic bin lid. It’s completely cracked now.
GeneralInquiry,Can I order an extra bin for my home? We generate more recycling than average.
MissedCollection,"Nothing collected on our street today, not even the neighbours."
DamagedProperty,massive scratch down the side of my brand new bin. looks like it was dragged along the road. not impressed. postcode TA8 1AA
MissedCollection,where is the truck?? its 5pm and the whole road is still lined with bins.
MissedCollection,missed bin collection. thx.
ServiceComplaint,frustrated with lack of communication
PositiveFeedback,"Love how polite your crew are, always smiling when they work away ❤️."
DamagedProperty,Wheel is missing from my large bin after you guys emptied it. Found it halfway down the street.
